[Thu Apr 15 12:57:15.361 2010] 0.004 sec [all/0/rel 30991 (0,1000)] [idx_logs] interface
[Thu Apr 15 13:03:07.084 2010] 0.003 sec [all/0/rel 30991 (0,1000)] [idx_logs] interface
[Thu Apr 15 13:04:33.151 2010] 0.001 sec [all/0/rel 2595 (0,1000)] [idx_logs] interface
[Thu Apr 15 14:56:22.844 2010] 0.000 sec [all/0/rel 0 (0,1000)] [idx_logs] interface
[Thu Apr 15 14:56:56.663 2010] 0.007 sec [all/0/rel 72034 (0,1000)] [idx_logs] interface
[Thu Apr 15 15:07:15.131 2010] 0.000 sec [all/0/rel 0 (0,1000)] [idx_logs] interface
[Thu Apr 15 15:08:08.621 2010] 0.000 sec [all/0/rel 0 (0,1000)] [idx_logs] fred
[Thu Apr 15 15:17:26.105 2010] 0.002 sec [all/0/rel 14102 (0,1000)] [idx_logs] interface
[Thu Apr 15 15:19:16.793 2010] 0.000 sec [ext2/0/rel 308 (0,1000)] [idx_logs] @msg[50] sys
[Thu Apr 15 15:42:10.008 2010] 0.001 sec [ext2/0/rel 754 (0,1000)] [idx_logs] sys
[Thu Apr 15 15:45:36.177 2010] 0.000 sec [ext2/0/rel 6 (0,1000)] [idx_logs] sys
[Thu Apr 15 15:46:16.581 2010] 0.001 sec [ext2/0/rel 6 (0,1000)] [idx_logs] sys
[Thu Apr 15 15:48:01.182 2010] 0.000 sec [ext2/0/rel 6 (0,1000)] [idx_logs] sys
[Thu Apr 15 15:49:10.534 2010] 0.000 sec [ext2/0/rel 64 (0,1000)] [idx_logs] sys
[Thu Apr 15 15:49:27.552 2010] 0.001 sec [ext2/0/rel 6785 (0,1000)] [idx_logs] interface
[Thu Apr 15 15:50:14.051 2010] 0.000 sec [ext2/0/rel 64 (0,1000)] [idx_logs] @msg[10] sys
[Thu Apr 15 15:55:11.280 2010] 0.000 sec [ext2/0/rel 493 (0,1000)] [idx_logs] @msg[3] sys
[Thu Apr 15 15:59:15.548 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] ^sys
